Disease,Severity
(vertigo) Paroymsal  Positional Vertigo,MODERATE
AIDS,SEVERE
Acne,MILD
Alcoholic hepatitis,SEVERE
Allergy,MILD
Arthritis,MODERATE
Bronchial Asthma,MODERATE
Cervical spondylosis,MODERATE
Chicken pox,MODERATE
Chronic cholestasis,SEVERE
Common Cold,MILD
Dengue,SEVERE
Diabetes,MODERATE
Dimorphic hemmorhoids(piles),MODERATE
Drug Reaction,MODERATE
Fungal infection,MILD
GERD,MODERATE
Gastroenteritis,SEVERE
Heart attack,EMERGENCY
Hepatitis B,SEVERE
Hepatitis C,SEVERE
Hepatitis D,SEVERE
Hepatitis E,SEVERE
Hypertension,MODERATE
Hyperthyroidism,MODERATE
Hypoglycemia,SEVERE
Hypothyroidism,MODERATE
Impetigo,MODERATE
Jaundice,SEVERE
Malaria,MODERATE
Migraine,MODERATE
Osteoarthristis,MODERATE
Paralysis (brain hemorrhage),EMERGENCY
Peptic ulcer diseae,SEVERE
Pneumonia,SEVERE
Psoriasis,MILD
Tuberculosis,SEVERE
Typhoid,SEVERE
Urinary tract infection,MODERATE
Varicose veins,MODERATE
hepatitis A,SEVERE
